timestamp,temp_c,rh,wind_speed_ms,precip_mm,fuel_dryness_index,vegetation_type_index
2019-11-01T00:00:00Z,30.91,33.96,4.89,0.0,0.662,0.486
2019-11-01T01:00:00Z,29.48,35.7,3.34,0.0,0.638,0.62
2019-11-01T02:00:00Z,26.8,42.71,3.92,0.0,0.593,0.515
2019-11-01T03:00:00Z,24.06,48.06,3.22,0.0,0.58,0.597
2019-11-01T04:00:00Z,22.81,54.15,3.08,0.0,0.58,0.563
2019-11-01T05:00:00Z,20.56,59.34,3.06,0.0,0.58,0.618
2019-11-01T06:00:00Z,20.74,57.97,3.21,0.0,0.58,0.543
2019-11-01T07:00:00Z,21.65,58.81,2.06,0.0,0.58,0.45
2019-11-01T08:00:00Z,19.02,66.93,2.41,0.0,0.58,0.472
2019-11-01T09:00:00Z,19.1,54.03,1.25,0.0,0.58,0.532
2019-11-01T10:00:00Z,21.3,57.42,0.86,0.0,0.58,0.639
2019-11-01T11:00:00Z,22.32,65.1,1.24,0.0,0.58,0.52
2019-11-01T12:00:00Z,23.54,39.66,4.23,0.0,0.58,0.551
2019-11-01T13:00:00Z,24.0,44.91,1.78,0.0,0.58,0.63
2019-11-01T14:00:00Z,27.12,46.63,3.88,0.0,0.599,0.51
2019-11-01T15:00:00Z,30.0,29.77,5.51,0.0,0.647,0.568
2019-11-01T16:00:00Z,29.16,46.19,4.73,0.0,0.633,0.566
2019-11-01T17:00:00Z,31.86,16.11,7.07,0.0,0.678,0.508
2019-11-01T18:00:00Z,31.18,33.06,7.75,0.0,0.666,0.562
2019-11-01T19:00:00Z,32.72,31.66,7.35,0.0,0.692,0.616
2019-11-01T20:00:00Z,32.26,27.78,8.6,0.0,0.684,0.616
2019-11-01T21:00:00Z,34.09,22.77,7.09,0.0,0.715,0.525
2019-11-01T22:00:00Z,32.0,27.66,5.69,0.0,0.68,0.739
2019-11-01T23:00:00Z,32.81,24.57,6.18,0.0,0.694,0.57
2019-11-02T00:00:00Z,31.13,37.27,4.75,0.0,0.665,0.529
2019-11-02T01:00:00Z,28.87,32.44,3.29,0.0,0.628,0.5
2019-11-02T02:00:00Z,23.9,41.85,2.48,0.0,0.58,0.483
2019-11-02T03:00:00Z,24.53,53.38,5.09,0.0,0.58,0.601
2019-11-02T04:00:00Z,23.36,47.65,2.57,0.0,0.58,0.358
2019-11-02T05:00:00Z,22.02,55.54,2.78,0.0,0.58,0.537
2019-11-02T06:00:00Z,18.69,61.36,2.11,0.0,0.58,0.457
2019-11-02T07:00:00Z,19.31,55.83,2.65,0.0,0.58,0.536
2019-11-02T08:00:00Z,18.4,69.04,2.32,0.0,0.58,0.545
2019-11-02T09:00:00Z,18.88,64.24,2.21,0.0,0.58,0.461
2019-11-02T10:00:00Z,22.06,52.96,1.67,0.0,0.58,0.482
2019-11-02T11:00:00Z,20.82,57.13,1.67,0.0,0.58,0.631
2019-11-02T12:00:00Z,23.38,49.34,2.41,0.0,0.58,0.511
2019-11-02T13:00:00Z,26.38,45.11,3.48,0.0,0.586,0.547
2019-11-02T14:00:00Z,26.42,43.6,5.17,0.0,0.587,0.527
2019-11-02T15:00:00Z,28.97,34.49,5.18,0.0,0.63,0.602
2019-11-02T16:00:00Z,31.07,38.04,6.57,0.0,0.664,0.628
2019-11-02T17:00:00Z,32.56,25.55,6.16,0.0,0.689,0.608
2019-11-02T18:00:00Z,32.08,30.81,6.21,0.0,0.681,0.584
2019-11-02T19:00:00Z,34.52,23.68,5.54,0.0,0.722,0.584
2019-11-02T20:00:00Z,36.44,27.5,6.71,0.0,0.754,0.469
2019-11-02T21:00:00Z,32.41,21.19,4.89,0.0,0.687,0.633
2019-11-02T22:00:00Z,34.79,23.37,6.04,0.0,0.726,0.511
2019-11-02T23:00:00Z,32.63,23.31,7.08,0.0,0.691,0.489
2019-11-03T00:00:00Z,30.11,36.13,5.38,0.0,0.649,0.523
2019-11-03T01:00:00Z,31.74,42.76,5.25,0.0,0.676,0.495
2019-11-03T02:00:00Z,28.19,53.84,3.21,0.0,0.616,0.574
2019-11-03T03:00:00Z,23.7,54.87,2.16,0.0,0.58,0.595
2019-11-03T04:00:00Z,23.54,54.49,2.63,0.0,0.58,0.631
2019-11-03T05:00:00Z,22.64,56.33,2.49,0.0,0.58,0.541
2019-11-03T06:00:00Z,20.46,62.51,3.62,0.0,0.58,0.508
2019-11-03T07:00:00Z,20.84,62.42,4.13,0.0,0.58,0.529
2019-11-03T08:00:00Z,19.61,70.56,1.93,0.0,0.58,0.47
2019-11-03T09:00:00Z,20.82,67.28,2.26,0.0,0.58,0.499
2019-11-03T10:00:00Z,22.57,56.38,2.54,0.0,0.58,0.679
2019-11-03T11:00:00Z,21.01,53.95,2.53,0.0,0.58,0.497
2019-11-03T12:00:00Z,23.71,60.08,2.02,0.0,0.58,0.517
2019-11-03T13:00:00Z,24.65,49.96,3.33,0.0,0.58,0.589
2019-11-03T14:00:00Z,27.36,42.09,3.81,0.0,0.603,0.564
2019-11-03T15:00:00Z,27.59,44.0,4.66,0.0,0.607,0.598
2019-11-03T16:00:00Z,30.19,31.31,4.15,0.0,0.65,0.49
2019-11-03T17:00:00Z,32.24,27.7,5.69,0.0,0.684,0.477
2019-11-03T18:00:00Z,34.86,23.62,4.9,0.0,0.728,0.634
2019-11-03T19:00:00Z,35.93,14.12,7.34,0.0,0.745,0.503
2019-11-03T20:00:00Z,32.98,27.57,5.91,0.0,0.696,0.541
2019-11-03T21:00:00Z,33.41,17.88,6.39,0.0,0.703,0.561
2019-11-03T22:00:00Z,34.53,23.08,5.93,0.0,0.722,0.426
